type,vertex_count,edge_density,original_fp,original_energy,eigenvector_fp,eigenvector_energy,pagerank_fp, pagerank_energy, betweenness_fp, betweenness_energy, clustering_fp, clustering_energy, degree_fp, degree_energy
ER,20,0.1,6,0.011428571428571429,2,0.010582010582010581,2,0.010582010582010581,2,0.010582010582010581,2,0.010582010582010581,2,0.021164021164021163
ER,20,0.2,1,0.12631578947368421,4,0.13043478260869565,1,0.1368421052631579,2,0.14814814814814814,3,0.1497326203208556,1,0.12631578947368421
ER,20,0.3,6,0.18285714285714286,1,0.2,0,0.2,1,0.17894736842105263,5,0.2,0,0.17894736842105263
ER,20,0.4,4,0.2391304347826087,4,0.22826086956521738,0,0.23157894736842105,2,0.17989417989417988,1,0.18947368421052632,6,0.16
ER,20,0.5,3,0.23529411764705882,0,0.24210526315789474,3,0.22459893048128343,2,0.24338624338624337,1,0.24210526315789474,2,0.2222222222222222
ER,50,0.1,5,0.097119341563786,2,0.09640522875816994,0,0.0946938775510204,3,0.088379705400982,0,0.09959183673469388,2,0.09313725490196079
ER,50,0.2,4,0.19196062346185397,1,0.18122448979591838,1,0.1893877551020408,1,0.17959183673469387,0,0.19428571428571428,2,0.18137254901960784
ER,50,0.3,2,0.24836601307189543,4,0.24938474159146842,0,0.24979591836734694,3,0.23404255319148937,2,0.2581699346405229,1,0.2416326530612245
ER,50,0.4,0,0.3036734693877551,1,0.3053061224489796,2,0.30392156862745096,0,0.3004081632653061,1,0.2987755102040816,2,0.2973856209150327
ER,50,0.5,0,0.31183673469387757,0,0.3053061224489796,0,0.31020408163265306,2,0.29411764705882354,1,0.3216326530612245,0,0.31510204081632653
ER,100,0.1,0,0.1301010101010101,0,0.12808080808080807,1,0.12404040404040403,0,0.12161616161616162,3,0.1249241964827168,1,0.12686868686868688
ER,100,0.2,0,0.2319191919191919,1,0.22787878787878788,1,0.2311111111111111,0,0.22464646464646465,1,0.22585858585858587,3,0.22761269456236102
ER,100,0.3,2,0.3063245100020206,1,0.3006060606060606,0,0.30343434343434345,1,0.29777777777777775,2,0.3059203879571631,2,0.30066680137401497
ER,100,0.4,0,0.34505050505050505,1,0.3397979797979798,1,0.35353535353535354,1,0.34464646464646465,2,0.34633259244291775,0,0.34545454545454546
ER,100,0.5,3,0.3630483121083485,1,0.355959595959596,2,0.3629015962820772,0,0.36323232323232324,0,0.35838383838383836,1,0.3656565656565657
ER,20,0.1,1,0.042105263157894736,2,0.05291005291005291,1,0.05263157894736842,1,0.05263157894736842,1,0.06315789473684211,1,0.05263157894736842
ER,20,0.2,1,0.10526315789473684,1,0.08421052631578947,4,0.07608695652173914,0,0.10526315789473684,0,0.11578947368421053,6,0.06857142857142857
ER,20,0.3,3,0.18181818181818182,0,0.18947368421052632,0,0.23157894736842105,2,0.21164021164021163,2,0.25396825396825395,1,0.2
ER,20,0.4,8,0.2222222222222222,4,0.20652173913043478,2,0.2222222222222222,4,0.1956521739130435,2,0.21164021164021163,4,0.25
ER,20,0.5,1,0.22105263157894736,6,0.18285714285714286,1,0.24210526315789474,8,0.2222222222222222,2,0.21164021164021163,0,0.21052631578947367
ER,50,0.1,5,0.09876543209876543,2,0.10130718954248366,1,0.0963265306122449,0,0.0963265306122449,0,0.09959183673469388,5,0.08724279835390947
ER,50,0.2,0,0.21387755102040817,0,0.21224489795918366,2,0.20751633986928106,1,0.2073469387755102,0,0.2073469387755102,1,0.2057142857142857
ER,50,0.3,0,0.24,0,0.23673469387755103,1,0.24,1,0.2416326530612245,1,0.24326530612244898,1,0.23020408163265307
ER,50,0.4,0,0.2889795918367347,1,0.3020408163265306,1,0.2938775510204082,0,0.2987755102040816,1,0.29551020408163264,2,0.29248366013071897
ER,50,0.5,2,0.3137254901960784,3,0.309328968903437,1,0.3020408163265306,11,0.3418803418803419,2,0.315359477124183,2,0.3104575163398693
ER,100,0.1,0,0.1103030303030303,4,0.10922330097087378,5,0.10850202429149798,1,0.11232323232323232,1,0.10949494949494949,0,0.1098989898989899
ER,100,0.2,2,0.2271165892099414,1,0.22464646464646465,2,0.22994544352394422,0,0.2298989898989899,2,0.22832895534451406,0,0.2286868686868687
ER,100,0.3,1,0.3103030303030303,1,0.3058585858585859,3,0.3024054982817869,0,0.30424242424242426,0,0.3022222222222222,0,0.3006060606060606
ER,100,0.4,0,0.3466666666666667,1,0.34545454545454546,0,0.3418181818181818,0,0.3486868686868687,1,0.3503030303030303,1,0.3519191919191919
ER,100,0.5,3,0.36587831008692134,2,0.3620933521923621,1,0.3575757575757576,3,0.36183545583181725,2,0.36694281673065265,0,0.362020202020202
ER,20,0.1,1,0.031578947368421054,1,0.010526315789473684,1,0.010526315789473684,3,0.0,1,0.021052631578947368,1,0.021052631578947368
