type,vertex_count,k,eigenvector_fp,eigenvector_energy,half_fp,half_energy
BA,50,3,0,0.09142857142857143,0,0.09142857142857143
BA,50,5,2,0.15020408163265306,5,0.13714285714285715
BA,50,7,2,0.20408163265306123,5,0.1926530612244898
BA,100,3,1,0.053737373737373736,3,0.05858585858585859
BA,100,5,0,0.10222222222222223,4,0.10222222222222223
BA,100,7,2,0.13696969696969696,0,0.1414141414141414
BA,150,3,0,0.04098434004474273,0,0.0458165548098434
BA,150,5,2,0.07391498881431767,2,0.07731543624161073
BA,150,7,0,0.10756152125279642,2,0.10791946308724833
BA,50,3,3,0.0963265306122449,2,0.09142857142857143
BA,50,5,0,0.15510204081632653,1,0.16163265306122448
BA,50,7,3,0.19918367346938776,2,0.2057142857142857
BA,100,3,1,0.055353535353535356,1,0.06060606060606061
BA,100,5,0,0.10181818181818182,6,0.1006060606060606
BA,100,7,0,0.13575757575757577,2,0.1385858585858586
BA,150,3,1,0.04098434004474273,1,0.046532438478747204
BA,150,5,7,0.07516778523489932,3,0.0774944071588367
BA,150,7,0,0.1043400447427293,3,0.10827740492170022
BA,50,3,0,0.0963265306122449,2,0.10122448979591837
BA,50,5,2,0.15346938775510205,1,0.156734693877551
BA,50,7,0,0.2057142857142857,9,0.18612244897959185
BA,100,3,1,0.0602020202020202,1,0.059393939393939395
BA,100,5,1,0.0997979797979798,3,0.10585858585858586
BA,100,7,0,0.1393939393939394,2,0.13777777777777778
BA,150,3,0,0.04241610738255033,2,0.046353467561521255
BA,150,5,1,0.07427293064876958,1,0.07803131991051454
BA,150,7,1,0.10630872483221476,4,0.10881431767337807
BA,50,3,1,0.09795918367346938,11,0.08816326530612245
BA,50,5,2,0.14530612244897959,0,0.156734693877551
BA,50,7,1,0.20244897959183675,25,0.16653061224489796
BA,100,3,0,0.059393939393939395,1,0.06343434343434344
BA,100,5,0,0.10141414141414141,17,0.09818181818181818
BA,100,7,2,0.13373737373737374,2,0.1406060606060606
BA,150,3,0,0.0447427293064877,1,0.04671140939597315
BA,150,5,2,0.07552572706935123,2,0.07677852348993289
BA,150,7,0,0.10559284116331097,4,0.10756152125279642
BA,50,3,0,0.08816326530612245,9,0.08489795918367347
BA,50,5,1,0.15836734693877552,6,0.16163265306122448
BA,50,7,1,0.1893877551020408,25,0.15183673469387754
BA,100,3,1,0.061414141414141414,1,0.06303030303030303
BA,100,5,1,0.10383838383838384,3,0.10828282828282829
BA,100,7,1,0.138989898989899,1,0.14222222222222222
BA,150,3,0,0.04366890380313199,6,0.046353467561521255
BA,150,5,1,0.07785234899328859,2,0.08
BA,150,7,1,0.10827740492170022,0,0.11328859060402685
BA,50,3,0,0.09306122448979592,10,0.0783673469387755
BA,50,5,0,0.17142857142857143,3,0.16163265306122448
BA,50,7,4,0.1893877551020408,6,0.18122448979591838
BA,100,3,4,0.055757575757575756,0,0.053737373737373736
BA,100,5,1,0.09898989898989899,5,0.10101010101010101
BA,100,7,3,0.14424242424242426,2,0.14464646464646463
BA,150,3,1,0.04277404921700224,1,0.044205816554809846
BA,150,5,0,0.07230425055928412,0,0.0789261744966443
BA,150,7,0,0.10595078299776287,2,0.10827740492170022
BA,50,3,0,0.09795918367346938,5,0.10122448979591837
BA,50,5,2,0.16489795918367348,3,0.16163265306122448
BA,50,7,1,0.20408163265306123,1,0.20081632653061224
BA,100,3,1,0.0602020202020202,1,0.0602020202020202
BA,100,5,2,0.0993939393939394,3,0.10181818181818182
BA,100,7,1,0.13777777777777778,3,0.138989898989899
BA,150,3,1,0.04331096196868009,7,0.04492170022371365
BA,150,5,1,0.07570469798657718,0,0.08017897091722595
BA,150,7,2,0.10344519015659956,5,0.11042505592841163
BA,50,3,0,0.09959183673469388,0,0.09306122448979592
BA,50,5,2,0.14857142857142858,12,0.1469387755102041
BA,50,7,4,0.19428571428571428,2,0.19591836734693877
BA,100,3,2,0.05494949494949495,1,0.061414141414141414
BA,100,5,0,0.1006060606060606,1,0.10747474747474747
BA,100,7,0,0.13696969696969696,0,0.1414141414141414
BA,150,3,3,0.04366890380313199,4,0.044384787472035794
BA,150,5,0,0.07445190156599553,5,0.07588366890380313
BA,150,7,2,0.1025503355704698,5,0.10899328859060403
BA,50,3,21,0.07673469387755102,1,0.09306122448979592
BA,50,5,2,0.16163265306122448,3,0.15020408163265306
BA,50,7,2,0.1893877551020408,25,0.16326530612244897
BA,100,3,3,0.055757575757575756,1,0.05818181818181818
BA,100,5,6,0.0993939393939394,0,0.10383838383838384
BA,100,7,0,0.13535353535353536,2,0.13777777777777778
BA,150,3,1,0.04277404921700224,2,0.04456375838926174
BA,150,5,3,0.07838926174496644,1,0.0785682326621924
BA,150,7,4,0.1039821029082774,3,0.10630872483221476
BA,50,3,1,0.08326530612244898,0,0.08979591836734693
BA,50,5,8,0.1306122448979592,25,0.09959183673469388
BA,50,7,15,0.17795918367346938,3,0.19755102040816327
BA,100,3,2,0.05858585858585859,5,0.06060606060606061
BA,100,5,2,0.10101010101010101,3,0.1006060606060606
BA,100,7,1,0.13818181818181818,8,0.1385858585858586
BA,150,3,1,0.0454586129753915,3,0.044384787472035794
BA,150,5,0,0.07463087248322148,3,0.07838926174496644
BA,150,7,0,0.1039821029082774,1,0.10756152125279642
BA,50,3,1,0.0946938775510204,0,0.10448979591836735
BA,50,5,3,0.16163265306122448,0,0.16
BA,50,7,3,0.19591836734693877,5,0.19428571428571428
BA,100,3,3,0.05696969696969697,2,0.0597979797979798
BA,100,5,0,0.10424242424242425,4,0.10141414141414141
BA,100,7,1,0.13818181818181818,1,0.14505050505050504
BA,150,3,3,0.042953020134228186,9,0.0447427293064877
BA,150,5,1,0.07480984340044743,15,0.07659955257270694
BA,150,7,2,0.10469798657718121,0,0.10612975391498881
BA,50,3,2,0.08,0,0.10612244897959183
BA,50,5,0,0.1436734693877551,25,0.09795918367346938
BA,50,7,4,0.18612244897959185,2,0.18448979591836734
BA,100,3,2,0.05454545454545454,1,0.0602020202020202
BA,100,5,3,0.09616161616161616,2,0.10343434343434343
BA,100,7,0,0.13656565656565656,2,0.1406060606060606
BA,150,3,0,0.04277404921700224,2,0.04366890380313199
BA,150,5,0,0.07427293064876958,1,0.07838926174496644
BA,150,7,4,0.10505592841163311,3,0.10791946308724833
BA,50,3,0,0.09795918367346938,0,0.10285714285714286
BA,50,5,2,0.14857142857142858,1,0.15183673469387754
BA,50,7,1,0.1926530612244898,2,0.19428571428571428
BA,100,3,1,0.05818181818181818,3,0.05616161616161616
BA,100,5,1,0.09737373737373738,0,0.10585858585858586
BA,100,7,2,0.13535353535353536,3,0.13616161616161615
BA,150,3,0,0.04331096196868009,5,0.04671140939597315
BA,150,5,0,0.07552572706935123,1,0.07874720357941835
