type,vertex_count,edge_density,eigenvector_fp,eigenvector_energy,half_fp,half_energy
ER,20,0.1,4,0.042105263157894736,0,0.06315789473684211
ER,20,0.2,0,0.09473684210526316,0,0.09473684210526316
ER,20,0.3,1,0.17894736842105263,10,0.12631578947368421
ER,20,0.4,0,0.22105263157894736,1,0.21052631578947367
ER,20,0.5,1,0.23157894736842105,0,0.22105263157894736
ER,50,0.1,3,0.0653061224489796,1,0.06857142857142857
ER,50,0.2,0,0.17142857142857143,0,0.17142857142857143
ER,50,0.3,0,0.2595918367346939,4,0.2563265306122449
ER,50,0.4,0,0.31020408163265306,1,0.2987755102040816
ER,50,0.5,1,0.32979591836734695,2,0.3053061224489796
ER,100,0.1,0,0.12323232323232323,2,0.12767676767676767
ER,100,0.2,0,0.23030303030303031,2,0.22707070707070706
ER,100,0.3,0,0.3022222222222222,4,0.2993939393939394
ER,100,0.4,3,0.3470707070707071,0,0.34383838383838383
ER,100,0.5,1,0.35797979797979795,5,0.36363636363636365
ER,20,0.1,1,0.06315789473684211,1,0.07368421052631578
ER,20,0.2,0,0.1368421052631579,9,0.10526315789473684
ER,20,0.3,6,0.15789473684210525,5,0.17894736842105263
ER,20,0.4,1,0.18947368421052632,0,0.18947368421052632
ER,20,0.5,2,0.25263157894736843,0,0.25263157894736843
ER,50,0.1,1,0.09142857142857143,0,0.08816326530612245
ER,50,0.2,4,0.18448979591836734,0,0.18448979591836734
ER,50,0.3,2,0.2612244897959184,0,0.25795918367346937
ER,50,0.4,3,0.3069387755102041,3,0.28408163265306124
ER,50,0.5,1,0.31020408163265306,5,0.3248979591836735
ER,100,0.1,0,0.11676767676767677,0,0.11515151515151516
ER,100,0.2,1,0.2206060606060606,3,0.21818181818181817
ER,100,0.3,0,0.29333333333333333,1,0.29414141414141415
ER,100,0.4,1,0.3434343434343434,3,0.3486868686868687
ER,100,0.5,3,0.36,0,0.35878787878787877
ER,20,0.1,2,0.06315789473684211,2,0.05263157894736842
ER,20,0.2,0,0.11578947368421053,1,0.1368421052631579
ER,20,0.3,1,0.18947368421052632,0,0.17894736842105263
ER,20,0.4,1,0.21052631578947367,0,0.22105263157894736
ER,20,0.5,2,0.22105263157894736,1,0.2
ER,50,0.1,0,0.08979591836734693,2,0.09142857142857143
ER,50,0.2,0,0.18775510204081633,2,0.18122448979591838
ER,50,0.3,0,0.2677551020408163,5,0.2530612244897959
ER,50,0.4,3,0.2889795918367347,1,0.2938775510204082
ER,50,0.5,0,0.3248979591836735,2,0.3053061224489796
ER,100,0.1,0,0.11757575757575757,1,0.1195959595959596
ER,100,0.2,0,0.2286868686868687,2,0.22262626262626262
ER,100,0.3,0,0.30505050505050507,1,0.2965656565656566
ER,100,0.4,0,0.3482828282828283,2,0.3470707070707071
ER,100,0.5,1,0.3624242424242424,1,0.36323232323232324
ER,20,0.1,5,0.05263157894736842,6,0.042105263157894736
ER,20,0.2,0,0.12631578947368421,1,0.14736842105263157
ER,20,0.3,8,0.11578947368421053,4,0.15789473684210525
ER,20,0.4,1,0.21052631578947367,2,0.24210526315789474
ER,20,0.5,6,0.2,3,0.21052631578947367
ER,50,0.1,1,0.09142857142857143,7,0.08
