type,vertex_count,block_count,eigenvector_fp,eigenvector_energy,half_fp,half_energy
SBM,50,2,1,0.19428571428571428,0,0.1893877551020408
SBM,50,3,23,0.1453900709219858,24,0.14184397163120568
SBM,50,5,0,0.15510204081632653,8,0.15346938775510205
SBM,100,2,0,0.24202020202020202,0,0.2412121212121212
SBM,100,3,1,0.19748505462791177,0,0.20449391877963308
SBM,100,5,0,0.19595959595959597,3,0.19797979797979798
SBM,150,2,0,0.26791946308724834,0,0.26559284116331094
SBM,150,3,1,0.24053691275167785,0,0.2392841163310962
SBM,150,5,0,0.21941834451901565,0,0.2156599552572707
SBM,50,2,0,0.19755102040816327,0,0.18775510204081633
SBM,50,3,0,0.14716312056737588,0,0.18085106382978725
SBM,50,5,2,0.1469387755102041,1,0.15346938775510205
SBM,100,2,4,0.24363636363636362,1,0.2549494949494949
SBM,100,3,6,0.209853638425067,0,0.20037105751391465
SBM,100,5,0,0.19474747474747475,2,0.19555555555555557
SBM,150,2,1,0.2614765100671141,0,0.2607606263982103
SBM,150,3,2,0.24501118568232663,0,0.2269351230425056
SBM,150,5,0,0.21888143176733782,1,0.21476510067114093
SBM,50,2,0,0.2546938775510204,1,0.23183673469387756
SBM,50,3,4,0.18262411347517732,1,0.19148936170212766
SBM,50,5,4,0.16326530612244897,2,0.16653061224489796
SBM,100,2,2,0.23797979797979799,0,0.24363636363636362
SBM,100,3,0,0.1999587713873428,7,0.21232735518449805
SBM,100,5,0,0.1898989898989899,2,0.18545454545454546
SBM,150,2,0,0.2589709172259508,0,0.2612975391498881
SBM,150,3,3,0.23319910514541387,0,0.2552125279642058
SBM,150,5,0,0.21476510067114093,1,0.2199552572706935
SBM,50,2,1,0.21224489795918366,0,0.26285714285714284
SBM,50,3,2,0.18971631205673758,0,0.18617021276595744
SBM,50,5,0,0.16163265306122448,2,0.16816326530612244
SBM,100,2,0,0.24808080808080807,3,0.24646464646464647
SBM,100,3,1,0.23871366728509585,1,0.24366110080395795
SBM,100,5,0,0.19393939393939394,2,0.19393939393939394
SBM,150,2,4,0.2589709172259508,0,0.25843400447427295
SBM,150,3,4,0.218165548098434,0,0.22174496644295302
SBM,150,5,0,0.21440715883668904,1,0.21888143176733782
SBM,50,2,25,0.14857142857142858,10,0.2073469387755102
SBM,50,3,0,0.2074468085106383,24,0.12234042553191489
SBM,50,5,1,0.15020408163265306,0,0.15510204081632653
SBM,100,2,1,0.23232323232323232,0,0.2404040404040404
SBM,100,3,0,0.2119150690579262,2,0.2110904968047825
SBM,100,5,1,0.20323232323232324,2,0.20484848484848484
SBM,150,2,0,0.261834451901566,0,0.2589709172259508
SBM,150,3,3,0.22049217002237137,4,0.22335570469798657
SBM,150,5,0,0.21172259507829977,1,0.20563758389261744
SBM,50,2,1,0.21387755102040817,25,0.15183673469387754
SBM,50,3,1,0.1950354609929078,1,0.19680851063829788
SBM,50,5,2,0.16653061224489796,2,0.15510204081632653
SBM,100,2,0,0.23393939393939395,6,0.2298989898989899
SBM,100,3,0,0.23541537827252113,2,0.23788909503195219
SBM,100,5,1,0.20444444444444446,7,0.19797979797979798
SBM,150,2,0,0.26272930648769577,5,0.26416107382550336
SBM,150,3,3,0.22514541387024609,2,0.22639821029082774
SBM,150,5,0,0.2170917225950783,3,0.21888143176733782
SBM,50,2,0,0.21061224489795918,25,0.18285714285714286
SBM,50,3,1,0.20035460992907803,2,0.19326241134751773
SBM,50,5,1,0.16489795918367348,0,0.16163265306122448
SBM,100,2,5,0.24484848484848484,0,0.24323232323232324
SBM,100,3,0,0.20902906617192332,1,0.24489795918367346
SBM,100,5,0,0.19555555555555557,1,0.19393939393939394
SBM,150,2,2,0.2625503355704698,3,0.26863534675615214
SBM,150,3,4,0.2280089485458613,0,0.23409395973154362
SBM,150,5,1,0.21512304250559283,0,0.21261744966442953
SBM,50,2,0,0.2220408163265306,0,0.2073469387755102
SBM,50,3,0,0.19148936170212766,1,0.20921985815602837
