type,vertex_count,edge_density,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
ER,20,0.1,0,0.042105263157894736,3,0.031578947368421054,0,0.042105263157894736
ER,20,0.2,3,0.12631578947368421,4,0.10526315789473684,0,0.1368421052631579
ER,20,0.3,1,0.16842105263157894,10,0.14736842105263157,0,0.16842105263157894
ER,20,0.4,1,0.2,0,0.22105263157894736,0,0.2
ER,20,0.5,0,0.23157894736842105,2,0.22105263157894736,0,0.22105263157894736
ER,50,0.1,5,0.07673469387755102,3,0.08489795918367347,0,0.08489795918367347
ER,50,0.2,0,0.1926530612244898,0,0.2057142857142857,0,0.19755102040816327
ER,50,0.3,0,0.2612244897959184,1,0.25795918367346937,0,0.2710204081632653
ER,50,0.4,2,0.3036734693877551,2,0.31020408163265306,0,0.3069387755102041
ER,50,0.5,0,0.3183673469387755,3,0.3053061224489796,0,0.32
ER,100,0.1,0,0.10949494949494949,1,0.11151515151515151,0,0.11151515151515151
ER,100,0.2,4,0.22181818181818183,2,0.22181818181818183,0,0.22585858585858587
ER,100,0.3,0,0.30505050505050507,1,0.30424242424242426,0,0.30343434343434345
ER,100,0.4,1,0.3503030303030303,1,0.35434343434343435,0,0.3482828282828283
ER,100,0.5,0,0.36323232323232324,0,0.36404040404040405,0,0.36282828282828283
ER,20,0.1,0,0.05263157894736842,10,0.031578947368421054,0,0.06315789473684211
ER,20,0.2,0,0.14736842105263157,9,0.12631578947368421,0,0.1368421052631579
ER,20,0.3,1,0.16842105263157894,6,0.1368421052631579,0,0.2
ER,20,0.4,2,0.24210526315789474,10,0.14736842105263157,0,0.24210526315789474
ER,20,0.5,1,0.25263157894736843,0,0.24210526315789474,0,0.23157894736842105
ER,50,0.1,0,0.0963265306122449,2,0.08816326530612245,0,0.08653061224489796
ER,50,0.2,1,0.16326530612244897,1,0.16326530612244897,0,0.17469387755102042
ER,50,0.3,3,0.24816326530612245,0,0.24489795918367346,0,0.25795918367346937
ER,50,0.4,0,0.2938775510204082,8,0.2889795918367347,0,0.2808163265306122
ER,50,0.5,1,0.3069387755102041,0,0.30857142857142855,0,0.3069387755102041
ER,100,0.1,1,0.12282828282828283,2,0.1204040404040404,0,0.12484848484848485
ER,100,0.2,1,0.22424242424242424,1,0.22303030303030302,0,0.23353535353535354
ER,100,0.3,3,0.30262626262626263,2,0.2973737373737374,0,0.301010101010101
ER,100,0.4,2,0.34505050505050505,1,0.3474747474747475,0,0.34383838383838383
ER,100,0.5,0,0.36767676767676766,3,0.35797979797979795,0,0.3595959595959596
ER,20,0.1,1,0.05263157894736842,1,0.042105263157894736,0,0.06315789473684211
ER,20,0.2,0,0.07368421052631578,4,0.07368421052631578,0,0.08421052631578947
