type,vertex_count,block_count,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
SBM,50,2,0,0.23020408163265307,2,0.20408163265306123,0,0.19591836734693877
SBM,50,3,0,0.18617021276595744,0,0.2127659574468085,0,0.19326241134751773
SBM,50,5,5,0.15346938775510205,3,0.15183673469387754,0,0.15836734693877552
SBM,100,2,1,0.24242424242424243,3,0.2391919191919192,0,0.24202020202020202
SBM,100,3,2,0.23170480313337455,0,0.21768707482993196,0,0.23541537827252113
SBM,100,5,0,0.1898989898989899,0,0.18707070707070708,0,0.18828282828282827
SBM,150,2,0,0.26487695749440715,0,0.2632662192393736,0,0.26487695749440715
SBM,150,3,0,0.22514541387024609,0,0.25431767337807604,0,0.22621923937360178
SBM,150,5,1,0.21548098434004473,3,0.21512304250559283,0,0.2149440715883669
SBM,50,2,0,0.2089795918367347,0,0.24816326530612245,0,0.21061224489795918
SBM,50,3,19,0.14184397163120568,0,0.20567375886524822,0,0.2127659574468085
SBM,50,5,0,0.15183673469387754,0,0.156734693877551,0,0.15836734693877552
SBM,100,2,0,0.23676767676767677,0,0.2391919191919192,0,0.2896969696969697
SBM,100,3,1,0.2007833436404865,9,0.19748505462791177,0,0.22387136672850957
SBM,100,5,1,0.19595959595959597,1,0.19313131313131313,0,0.19111111111111112
SBM,150,2,0,0.26666666666666666,6,0.2646979865771812,0,0.2668456375838926
SBM,150,3,1,0.24626398210290829,1,0.22460850111856823,0,0.24715883668903804
SBM,150,5,1,0.21118568232662194,3,0.21046979865771812,0,0.21154362416107383
SBM,50,2,14,0.2057142857142857,0,0.21224489795918366,0,0.24816326530612245
SBM,50,3,0,0.20390070921985815,24,0.14184397163120568,0,0.20212765957446807
SBM,50,5,0,0.16163265306122448,1,0.1763265306122449,0,0.1763265306122449
SBM,100,2,0,0.2391919191919192,1,0.23959595959595958,0,0.2383838383838384
SBM,100,3,0,0.20944135229849514,3,0.2110904968047825,0,0.21397649969078542
SBM,100,5,0,0.1903030303030303,5,0.19353535353535353,0,0.19717171717171716
SBM,150,2,1,0.2625503355704698,1,0.2643400447427293,0,0.2614765100671141
SBM,150,3,1,0.22085011185682327,1,0.26040268456375837,0,0.2276510067114094
SBM,150,5,1,0.2178076062639821,0,0.20975391498881432,0,0.21082774049217
SBM,50,2,0,0.2073469387755102,0,0.22040816326530613,0,0.20244897959183675
SBM,50,3,3,0.15780141843971632,6,0.1595744680851064,0,0.17198581560283688
SBM,50,5,0,0.1730612244897959,2,0.16653061224489796,0,0.16
SBM,100,2,0,0.24484848484848484,5,0.24242424242424243,0,0.24606060606060606
SBM,100,3,0,0.24118738404452691,4,0.23170480313337455,0,0.21974850546279118
