type,vertex_count,k,eigenvector_fp,eigenvector_energy,original_fp,original_energy
BA,300,3,0,0.02519509476031215,1,0.02697881828316611
BA,300,5,2,0.04499542910655756,0,0.047224080267558526
BA,300,7,1,0.06327759197324415,0,0.06564102564102564
BA,500,3,1,0.01691382765531062,2,0.017956055759966012
BA,500,5,0,0.029851703406813628,1,0.030412825651302607
BA,500,7,2,0.041427185789064444,3,0.04307919228518522
BA,300,3,1,0.026265328874024527,2,0.02711320207808424
BA,300,5,1,0.04526198439241917,2,0.046912974648264175
BA,300,7,0,0.06452619843924191,1,0.06573021181716834
BA,500,3,1,0.01696192384769539,0,0.017955911823647294
BA,500,5,0,0.029995991983967935,0,0.03076553106212425
BA,500,7,0,0.041667334669338675,1,0.04293386773547094
BA,300,3,0,0.025061315496098104,1,0.027246376811594204
BA,300,5,0,0.04468227424749164,3,0.046335317858496664
BA,300,7,3,0.06363859343991794,1,0.06555183946488294
BA,500,3,1,0.01701002004008016,2,0.018212570842251242
BA,500,5,2,0.029755749545086533,6,0.031202148554936464
BA,500,7,2,0.04203640910949186,4,0.043673443211697555
BA,300,3,9,0.024724416476993798,2,0.027068607995718967
BA,300,5,1,0.04526198439241917,2,0.04575352850676715
BA,300,7,1,0.062474916387959864,4,0.06538221389706539
BA,500,3,0,0.01729859719438878,5,0.017508417508417508
BA,500,5,2,0.029547331040729784,3,0.03057388153622933
BA,500,7,0,0.04200400801603207,0,0.04344689378757515
BA,300,3,0,0.02483835005574136,1,0.027558528428093646
BA,300,5,1,0.04387959866220736,2,0.04669000423643783
BA,300,7,0,0.06403567447045708,4,0.06484702524306485
BA,500,3,0,0.016977955911823647,2,0.01766747629239513
BA,500,5,3,0.03010894049556302,1,0.03079759519038076
BA,500,7,2,0.04237308515499122,5,0.043482443482443484
BA,300,3,0,0.02573021181716834,7,0.026411474715028218
BA,300,5,1,0.044994425863991085,3,0.0463799139295828
BA,300,7,2,0.0644830431001806,8,0.06590513587077775
BA,500,3,0,0.017202404809619237,1,0.01802004008016032
BA,500,5,1,0.029050100200400802,1,0.030653306613226454
BA,500,7,1,0.04214829659318637,1,0.04383166332665331
BA,300,3,1,0.025908584169453734,2,0.02760373698410221
BA,300,5,1,0.0442809364548495,2,0.047314321389551606
BA,300,7,0,0.06336677814938685,2,0.06483979575910277
BA,500,3,1,0.017026052104208416,3,0.017908246290491956
BA,500,5,0,0.02956312625250501,2,0.030637520140442007
BA,500,7,1,0.04153907815631262,0,0.04248496993987976
BA,300,3,1,0.02568561872909699,3,0.027292795504716034
BA,300,5,1,0.04432552954292085,2,0.04490624094182702
BA,300,7,1,0.06256410256410257,3,0.06408455415077932
BA,500,3,2,0.0171704783204675,1,0.01797194388777555
BA,500,5,4,0.029452318347976656,1,0.03094188376753507
BA,500,7,2,0.041427185789064444,1,0.043142284569138274
BA,300,3,0,0.025016722408026756,1,0.027246376811594204
BA,300,5,2,0.04490624094182702,0,0.0461984392419175
BA,300,7,5,0.06244424620874219,2,0.06564248924167763
BA,500,3,3,0.017170753605297122,3,0.017796019142744916
BA,500,5,0,0.02970741482965932,0,0.031102204408817634
BA,500,7,4,0.04189379849932662,1,0.04323847695390782
BA,300,3,1,0.02653288740245262,3,0.028184716926438782
BA,300,5,2,0.04481705277709648,4,0.04673980911604674
BA,300,7,0,0.06336677814938685,0,0.0652396878483835
BA,500,3,0,0.016833667334669337,2,0.01811637768639428
BA,500,5,0,0.029498997995991982,1,0.030685370741482965
BA,500,7,0,0.04216432865731463,0,0.04338276553106212
BA,300,3,0,0.02479375696767001,3,0.027114411220371486
BA,300,5,2,0.04477245869473121,7,0.0460416248410627
BA,300,7,0,0.06358974358974359,4,0.0656944072785657
BA,500,3,0,0.0171062124248497,7,0.017654274467044553
BA,500,5,1,0.030012024048096192,3,0.030621978885263773
BA,500,7,2,0.041571475522849885,2,0.04314263040184691
BA,300,3,1,0.026309921962095875,0,0.027603121516164994
BA,300,5,2,0.04437111195344378,1,0.04593088071348941
BA,300,7,1,0.06274247491638796,0,0.06443701226309922
BA,500,3,2,0.017026188586682058,1,0.01761923847695391
BA,500,5,1,0.029947895791583166,0,0.030268537074148297
BA,500,7,0,0.04131462925851703,3,0.0426463161438752
BA,300,3,1,0.02581939799331104,1,0.026220735785953176
BA,300,5,1,0.04472686733556299,1,0.045351170568561874
BA,300,7,2,0.0630114383821267,3,0.06457511093272683
BA,500,3,2,0.017138413935181847,1,0.017955911823647294
BA,500,5,0,0.02956312625250501,2,0.030557359177227874
BA,500,7,2,0.041651636486064014,3,0.04328761413100115
BA,300,3,0,0.02573021181716834,2,0.026488884924970455
BA,300,5,1,0.04414715719063545,0,0.045529542920847266
BA,300,7,1,0.06385730211817169,6,0.06535073045611688
